"","...1","GEOID","presAQRespHaz","presAQCanRisk","PerLeadPaint","presOzone","presDiesel","presPM25","presRMPProx","presProxTSDFx","presNPLprox","presPWDIS","popDens","perHGLPD","perCrudePipe","perNatGasPipe","perPetroPD","presBWS","presBWD","presIAV","presSEV","presGTD","presRFR","presCFR","presDRR","presCEP"
"1",1,"05001",0.442660913098633,32.1760440418478,0.245413561025966,39.1717597845424,0.152134362573287,8.42086051154046,0.087562699446425,0.175543249495528,0.01542170744164,6.97698894094502,6.97264664308749,0,0,47.535658353149,0,1.73007174950224,1.48548328690142,1.38329916688736,0.916570851387147,1.6029739999983,0.737972638849432,0,2.01195093055705,2.93483099798322
"2",2,"05003",0.48902760867343,35.1480816510866,0.13851922186322,36.9719464057304,0.132206355676623,8.67025907230027,0.099959311162783,0.153205532660963,0.019819178518836,0.021994688221672,8.53812894853577,0,0,69.6605289897042,0,1.60919621842764,1.04779875686737,1.70333640412733,1.59949335318461,1.60297399999781,1.80667820295489,0,2.0301683067889,2.93483099798322
"3",3,"05005",0.498718754916816,35.6371221758144,0.076630159088237,41.2663527774939,0.116983103263482,8.50534674466054,0.145788120448104,0.245461564405216,0.012731721641468,0.000279715764932,28.4384663751225,0,0,56.186756377611,0,0,0.000269209817165,3.25856592090512,0.890803376469445,0,0.633827317738474,0,2.30196901086459,2.93483099798322
"4",4,"05007",0.42419989910098,31.627107811156,0.087858645793342,42.9521722910154,0.199118772760427,8.86356185234664,0.435692462876686,0.473137857761242,0.018557127951516,0.00056021130431,115.454726613401,0,0,69.2414261188497,0,0.301238781622033,0.163386743119053,2.29102947012357,0.72306476895715,0,0.345957493651773,0,2.38116975968808,2.93483099798269
"5",5,"05009",0.435294323904628,29.8995076019399,0.134799166944193,41.3617225688713,0.11845715148622,8.13082975451683,0.096253648495346,0.201007556798762,0.100514668960592,0.004350746262251,24.3222946572438,0,0,53.8227054650238,0,0,0,3.33691150300146,0.799338156281723,0,0.58135292569838,0,2.26059749256819,2.93483099798322
"6",6,"05011",0.555929391762929,37.6537857585798,0.186609760786779,37.0785886635057,0.113869858979263,8.89042034476913,0.030321535148972,0.144814756508147,0.020057784537207,0.00014160054646,6.53420735203411,0,0,23.9519407854115,0,1.08379927995512,0.55483187061368,1.67905169947952,1.49763934701636,1.60297400000044,0.194122025858702,0,2.0535144511958,2.93483099798322
"7",7,"05013",0.558969178098462,37.8971493821076,0.216354957542511,37.1611512002607,0.121987716420817,9.1319520961401,0.047916668714796,0.190879313001507,0.029978002367677,0.00013411175123,3.24442209808705,23.775652715437,0,30.1293706931816,17.9779159939778,0.22320831662835,0.292705717365639,1.78623150404027,1.31090314308168,1.60297400000011,0.371186903284979,0,2.05350489853181,2.93483099798322
"8",8,"05015",0.3828480997965,28.3591289083999,0.162415620937919,42.1008245491257,0.109557432738806,8.06141528774142,0.224837063441851,0.112625256912348,0.03230863861585,0.000355616967637,17.0898080135309,0,0,57.9391213373951,0,0,0,3.3369115030003,0.799338156282033,0,0.581352925698441,0,2.26059749256819,2.93483099798322
"9",9,"05017",0.422311233378738,30.7677998864273,0.170177445692502,36.7561813833831,0.153026594637425,8.46291502512057,0.05014059536988,0.033093302725627,0.010157040705496,8.111954738e-06,6.63736776596126,0,20.7882780000069,29.7096570973754,22.0532171592506,1.02837309519311,0.718470775151526,1.55026751136599,1.07432988322375,1.6029740000004,1.33333059357255,0,2.0000202057432,2.93483099798322
"10",10,"05019",0.599739532031514,39.9846870365117,0.159323024238492,38.6118501100453,0.171698957384241,9.2258006852266,0.129774651629509,0.266639749454132,0.034438890272282,0.00013414580692,10.0893322470057,0,0.368712440916904,66.3112290638066,0,0.223208316628508,0.29270571736563,1.78623150404024,1.31090314308109,1.6029740000007,0.371186903284979,0,2.05350489853215,2.93483099798322
"11",11,"05021",0.4092058766549,30.1958008116315,0.26286269736968,43.7875238337634,0.18956828823959,8.99012601864392,0.041677249001033,0.119637482486668,0.022399206437604,0.005137472052409,9.1237166211447,9.55797055793386,0,67.0913717069905,7.58624827970491,4.11040201449999,2.87057364450409,2.0719438897118,1.97701425243719,1.60297399999865,0.975738826141039,0,2.2252298193491,2.93483099798322
"12",12,"05023",0.509169367541436,34.8273786823895,0.079418284483776,42.3113684051807,0.130745284719503,8.81070364430903,0.113639872589215,0.11512734035102,0.013675911372236,1.4491295671e-05,18.8542951634003,0,8.03079937315564,39.5480649247743,0,0,0.002628179661574,1.67988807005608,1.02570216515299,0,1.42160167260849,0,2.04245548521137,2.93483099798322
"13",13,"05025",0.532631883019047,37.377169395743,0.137440200053229,37.8971707841866,0.130831098065988,8.88067601165802,0.02623669482908,0.144435552282955,0.012824721246041,0.001472506584361,5.31921525832878,3.80350461415944,0,51.8518790747635,2.9611523633921,1.24378711642184,0.607959031430377,1.66022567991937,1.53238907359161,1.60297399999956,0.186031524720182,0,2.05325841827861,2.93483099798322
"14",14,"05027",0.570455952587726,39.5938248741493,0.239327532809861,37.7940641871027,0.124194960124523,9.23701841397956,0.209065456774226,0.256923478886361,0.020756186513882,0.020008815080982,12.0862544118149,1.3511136716152,9.39224084541395,81.8905611220262,1.22514400356594,2.65796310459739,1.21638522282291,2.51704639507409,1.90546297427676,1.60297399999896,0.763517976334482,0,2.05297866232573,2.93483099798322
"15",15,"05029",0.561060776931828,37.3708632229841,0.157429003462302,41.1352455544472,0.202481843945047,9.12890215419957,0.153949750859858,0.235030196414924,0.020887299550839,0.000137480802028,14.8469241559797,0,11.2993694542618,77.9224799227038,0,0,0.027813358415442,1.60415887132351,0.55579969579644,0,0.27149692146343,0,2.07892650848342,2.93483099798322
"16",16,"05031",0.419465700107293,30.9684426774238,0.178465869954198,43.5767491621072,0.220517671594679,9.03017114474912,0.256134472421072,0.383662718733321,0.01046570699044,0.004682234765787,57.691063062342,0.74812005547427,0,28.8162373878621,1.39593893871483,4.37983357172765,3.1981061473042,1.74806750221908,1.9257010611326,1.60297399999799,0.899004995423389,0,2.16572661567519,2.93483099798322
